"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
3,1011.9396,1039,27.0604000000005,"train","UK",3703927.5,3148732.5,"residential","urban"
7,702.217366666667,582,-120.217366666667,"train","UK",3481602.5,3137852.5,"residential","urban"
11,1229.63026666667,1279,49.3697333333339,"train","UK",3519892.5,3459172.5,"residential","urban"
14,846.758833333333,698,-148.758833333333,"train","UK",3401937.5,3716892.5,"residential","urban"
15,509.836166666667,291,-218.836166666667,"train","UK",3545087.5,3385937.5,"residential","urban"
16,917.579166666666,1015,97.4208333333338,"train","UK",3321637.5,3130087.5,"residential","urban"
20,701.025333333334,493,-208.025333333334,"train","UK",3642272.5,3457277.5,"residential","urban"
21,363.756266666667,70,-293.756266666667,"train","UK",3504962.5,3339727.5,"residential","urban"
26,1023.7773,983,-40.7773000000005,"train","UK",3498567.5,3408007.5,"residential","urban"
28,680.272933333333,477,-203.272933333333,"train","UK",3557432.5,3473472.5,"residential","urban"
29,773.593466666667,790,16.4065333333331,"train","UK",3579287.5,3601452.5,"residential","urban"
56,571.028466666667,388,-183.028466666667,"train","UK",3584062.5,3600152.5,"residential","urban"
59,867.272666666666,675,-192.272666666666,"train","UK",3514287.5,3355122.5,"residential","urban"
61,473.185333333333,84,-389.185333333333,"train","UK",3358872.5,3443442.5,"residential","urban"
68,572.980833333334,91,-481.980833333334,"train","UK",3612062.5,3230357.5,"residential","urban"
71,1045.9952,863,-182.9952,"train","UK",3467322.5,3489132.5,"residential","urban"
74,621.917433333333,442,-179.917433333333,"train","UK",3606302.5,3191157.5,"residential","urban"
77,1182.05586666667,1211,28.9441333333336,"train","UK",3688712.5,3276362.5,"residential","urban"
78,1081.8937,1370,288.106300000001,"train","UK",3521547.5,3452202.5,"residential","urban"
82,710.833433333333,591,-119.833433333333,"train","UK",3561892.5,3462912.5,"residential","urban"
84,515.7529,143,-372.7529,"train","UK",3496372.5,3454832.5,"residential","urban"
86,1460.23443333333,1626,165.765566666668,"train","UK",3662947.5,3205407.5,"residential","urban"
88,1829.56006666667,2447,617.439933333335,"train","UK",3638337.5,3175427.5,"residential","urban"
92,826.722633333334,658,-168.722633333334,"train","UK",3697027.5,3175452.5,"residential","urban"
97,581.600366666667,343,-238.600366666667,"train","UK",3586627.5,3601912.5,"residential","urban"
125,926.0273,863,-63.0273,"train","UK",3566332.5,3838252.5,"residential","urban"
126,870.082266666666,682,-188.082266666666,"train","UK",3480302.5,3246847.5,"residential","urban"
127,965.594899999999,1062,96.4051000000005,"train","UK",3425577.5,3270242.5,"residential","urban"
130,1366.25916666667,1805,438.740833333333,"train","UK",3555807.5,3156237.5,"residential","urban"
131,1068.10806666667,1230,161.891933333334,"train","UK",3454237.5,3138617.5,"residential","urban"
138,606.680333333334,237,-369.680333333334,"train","UK",3651947.5,3172782.5,"residential","urban"
142,1400.8162,2099,698.183799999999,"train","UK",3600322.5,3210192.5,"residential","urban"
148,1029.97203333333,1103,73.0279666666675,"train","UK",3511312.5,3224522.5,"residential","urban"
150,696.409133333334,616,-80.409133333334,"train","UK",3564532.5,3427772.5,"residential","urban"
161,1081.78653333333,1142,60.213466666667,"train","UK",3569537.5,3137627.5,"residential","urban"
175,1732.1271,2701,968.8729,"train","UK",3409072.5,3245962.5,"residential","urban"
177,1226.87916666667,1552,325.120833333334,"train","UK",3465642.5,3449627.5,"residential","urban"
180,508.4647,268,-240.4647,"train","UK",3633907.5,3204302.5,"residential","urban"
198,584.501733333333,409,-175.501733333333,"train","UK",3635652.5,3211357.5,"residential","urban"
38,899.7709,620,-279.7709,"test","UK",3653092.5,3428682.5,"residential","urban"
57,1014.5133,959,-55.5133,"test","UK",3596372.5,3315867.5,"residential","urban"
70,1309.59216666667,955,-354.592166666667,"test","UK",3579757.5,3243602.5,"residential","urban"
99,890.325066666667,1867,976.674933333333,"test","UK",3555707.5,3374007.5,"residential","urban"
103,761.3762,1125,363.6238,"test","UK",3641027.5,3455692.5,"residential","urban"
121,1140.6632,1075,-65.6632,"test","UK",3571637.5,3200597.5,"residential","urban"
155,993.975933333334,701,-292.975933333334,"test","UK",3413317.5,3235032.5,"residential","urban"
178,1176.01883333333,643,-533.018833333333,"test","UK",3688312.5,3276597.5,"residential","urban"
196,661.1908,797,135.8092,"test","UK",3560957.5,3467622.5,"residential","urban"
